Designator,Mid X,Mid Y,Rotation,Layer
C1,138.2776,-87.0712,90.0,top
C2,141.605497,-90.827903,270.0,top
C3,144.45,-82.2386,180.0,top
C4,146.81074,-81.4136,90.0,top
C5,146.2292,-91.577903,270.0,top
C7,147.83574,-81.4136,90.0,top
C8,141.699012,-84.669468,90.0,top
R1,146.812,-77.47,270.0,top
R2,146.304,-88.9,270.0,top
R5,138.2776,-85.1408,90.0,top
S1,136.6099,-93.16,270.0,top
TP1,140.5,-96.16,0.0,top
TP2,147.9804,-96.1644,0.0,top
U2,144.487035,-80.1636,0.0,top
U3,144.018,-91.566503,270.0,top
X1,144.29996,-84.9243,0.0,top
